iter	Passed	Remaining
415	3090	4338
416	3097	4331
417	3106	4325
418	3114	4318
419	3122	4311
420	3130	4304
421	3137	4297
422	3145	4290
423	3153	4284
424	3163	4279
425	3170	4272
426	3179	4266
427	3188	4261
428	3196	4254
429	3204	4247
430	3212	4240
431	3220	4234
432	3228	4227
433	3236	4220
434	3245	4215
435	3253	4208
436	3261	4201
437	3270	4196
438	3278	4189
439	3287	4183
440	3294	4176
441	3303	4170
442	3311	4163
443	3319	4156
444	3327	4150
445	3335	4143
446	3344	4137
447	3352	4130
448	3360	4123
449	3368	4117
450	3377	4111
451	3385	4104
452	3393	4098
453	3401	4090
454	3409	4083
455	3418	4077
456	3426	4071
457	3434	4064
458	3444	4060
459	3453	4054
460	3462	4048
461	3470	4041
462	3479	4035
463	3487	4028
464	3496	4022
465	3504	4015
466	3512	4009
467	3521	4002
468	3529	3995
469	3536	3988
470	3545	3981
471	3553	3975
472	3561	3968
473	3569	3961
474	3577	3953
475	3585	3946
476	3593	3939
477	3600	3932
478	3609	3925
479	3617	3918
480	3626	3912
481	3633	3905
482	3642	3898
483	3649	3891
484	3657	3883
485	3665	3876
486	3673	3869
487	3681	3862
488	3689	3855
489	3697	3848
490	3705	3841
491	3713	3834
492	3722	3828
493	3730	3820
494	3738	3814
495	3745	3806
496	3754	3799
497	3762	3792
498	3770	3785
499	3778	3778
500	3786	3771
501	3794	3764
502	3802	3757
503	3810	3749
504	3818	3743
505	3825	3735
506	3833	3728
507	3841	3720
508	3849	3713
509	3857	3705
510	3865	3699
511	3873	3691
512	3882	3685
513	3889	3677
514	3897	3670
515	3905	3663
516	3913	3655
517	3921	3648
518	3928	3641
519	3936	3634
520	3944	3626
521	3952	3619
522	3960	3612
523	3969	3605
524	3977	3598
525	3984	3590
526	3992	3583
527	4001	3577
528	4008	3569
529	4017	3563
530	4026	3556
531	4035	3550
532	4043	3542
533	4051	3535
534	4060	3528
535	4067	3521
536	4075	3514
537	4083	3506
538	4092	3500
539	4101	3493
540	4109	3486
541	4117	3479
542	4125	3472
543	4134	3465
544	4141	3457
545	4149	3450
546	4157	3443
547	4165	3435
548	4173	3428
549	4180	3420
550	4189	3413
551	4197	3406
552	4204	3398
553	4213	3391
554	4220	3384
555	4229	3377
556	4236	3369
557	4245	3362
558	4253	3355
559	4261	3348
560	4269	3340
561	4277	3333
562	4285	3326
563	4293	3319
564	4301	3311
565	4309	3304
566	4316	3296
567	4323	3288
568	4332	3281
569	4341	3274
570	4350	3268
571	4358	3261
572	4366	3253
573	4374	3246
574	4381	3238
575	4389	3231
576	4396	3223
577	4404	3216
578	4412	3208
579	4420	3200
580	4427	3192
581	4434	3184
582	4442	3177
583	4450	3170
584	4459	3163
585	4467	3156
586	4475	3148
587	4483	3141
588	4490	3133
589	4498	3126
590	4507	3119
591	4515	3112
592	4523	3104
593	4531	3097
594	4540	3090
595	4548	3083
596	4556	3076
597	4564	3068
598	4572	3060
599	4579	3053
600	4587	3045
601	4595	3038
602	4603	3030
603	4610	3023
604	4618	3015
605	4626	3008
606	4634	3000
607	4642	2993
608	4650	2985
609	4659	2978
610	4667	2971
611	4675	2964
612	4684	2957
613	4692	2949
614	4700	2942
615	4707	2934
616	4715	2927
617	4722	2919
618	4730	2911
619	4738	2904
620	4746	2896
621	4754	2889
622	4762	2881
623	4769	2874
624	4777	2866
625	4785	2858
626	4792	2851
627	4800	2843
628	4807	2835
629	4816	2828
630	4824	2821
631	4832	2814
632	4841	2806
633	4848	2799
634	4856	2791
635	4865	2784
636	4872	2776
637	4881	2769
638	4889	2762
639	4897	2754
640	4905	2747
641	4912	2739
642	4919	2731
643	4927	2723
644	4934	2715
645	4942	2708
646	4950	2700
647	4959	2693
648	4966	2686
649	4975	2678
650	4983	2671
651	4991	2664
652	4999	2656
653	5007	2649
654	5014	2641
655	5023	2634
656	5030	2626
657	5038	2618
658	5046	2611
659	5054	2603
660	5062	2596
661	5069	2588
662	5077	2580
663	5084	2572
664	5092	2565
665	5100	2557
666	5109	2550
667	5116	2543
668	5125	2535
669	5132	2528
670	5140	2520
671	5148	2513
672	5156	2505
673	5162	2497
674	5172	2490
675	5179	2482
676	5187	2475
677	5195	2467
678	5203	2459
679	5210	2451
680	5218	2444
681	5225	2436
682	5232	2428
683	5240	2421
684	5247	2413
685	5255	2405
686	5262	2397
687	5270	2390
688	5277	2382
689	5285	2374
690	5292	2366
691	5299	2358
692	5307	2351
693	5315	2343
694	5323	2336
695	5330	2328
696	5338	2320
697	5345	2312
698	5352	2304
699	5360	2297
700	5367	2289
701	5375	2281
702	5383	2274
703	5391	2266
704	5398	2258
705	5406	2251
706	5414	2243
707	5421	2236
708	5433	2230
709	5446	2224
710	5458	2218
711	5467	2211
712	5476	2204
713	5485	2197
714	5493	2189
715	5502	2182
716	5510	2175
717	5519	2167
718	5527	2160
719	5535	2152
720	5544	2145
721	5554	2138
722	5564	2132
723	5581	2127
724	5592	2121
725	5603	2114
726	5613	2108
727	5623	2100
728	5631	2093
729	5640	2086
730	5648	2078
731	5656	2071
732	5664	2063
733	5672	2055
734	5680	2048
735	5688	2040
736	5696	2032
737	5704	2025
738	5712	2017
739	5721	2010
740	5729	2002
741	5737	1995
742	5745	1987
743	5752	1979
744	5761	1971
745	5769	1964
746	5778	1957
747	5785	1949
748	5794	1941
749	5802	1934
750	5811	1926
751	5819	1919
752	5828	1912
753	5838	1904
754	5846	1897
755	5854	1889
756	5862	1881
757	5871	1874
758	5879	1866
759	5888	1859
760	5896	1851
761	5906	1844
762	5914	1837
763	5924	1830
764	5932	1822
765	5942	1815
766	5950	1807
767	5960	1800
768	5971	1793
769	5981	1786
770	5993	1780
771	6005	1773
772	6015	1766
773	6025	1759
774	6035	1752
775	6044	1744
776	6055	1737
777	6064	1730
778	6074	1723
779	6086	1716
780	6094	1708
781	6105	1702
782	6114	1694
783	6124	1687
784	6134	1680
785	6144	1672
786	6153	1665
787	6162	1657
788	6171	1650
789	6179	1642
790	6188	1635
791	6197	1627
792	6206	1619
793	6214	1612
794	6221	1604
795	6229	1596
796	6238	1589
797	6247	1581
798	6255	1573
799	6264	1566
800	6272	1558
801	6281	1550
802	6289	1543
803	6297	1535
804	6305	1527
805	6313	1519
806	6323	1512
807	6333	1504
808	6342	1497
809	6351	1489
810	6358	1481
811	6367	1474
812	6375	1466
813	6384	1458
814	6393	1451
815	6402	1443
816	6410	1435
817	6419	1428
818	6427	1420
819	6435	1412
820	6445	1405
821	6454	1397
822	6464	1390
823	6472	1382
824	6482	1375
825	6490	1367
826	6498	1359
827	6506	1351
828	6514	1343
829	6522	1335
830	6529	1327
831	6538	1320
832	6548	1312
833	6556	1305
834	6565	1297
835	6573	1289
836	6581	1281
837	6589	1273
838	6597	1265
839	6605	1258
840	6614	1250
841	6622	1242
842	6630	1234
843	6638	1226
844	6646	1219
845	6655	1211
846	6664	1203
847	6672	1196
848	6680	1188
849	6690	1180
850	6698	1172
851	6706	1164
852	6713	1156
853	6721	1149
854	6728	1141
855	6736	1133
856	6743	1125
857	6752	1117
858	6760	1109
859	6769	1101
860	6776	1094
861	6784	1086
862	6792	1078
863	6799	1070
864	6808	1062
865	6816	1054
866	6825	1046
867	6832	1039
868	6840	1031
869	6849	1023
870	6858	1015
871	6868	1008
872	6876	1000
873	6884	992
874	6892	984
875	6901	976
876	6909	969
877	6916	961
878	6924	953
879	6933	945
880	6942	937
881	6950	929
882	6959	922
883	6967	914
884	6976	906
885	6986	898
886	6994	891
887	7003	883
888	7012	875
889	7020	867
890	7029	859
891	7038	852
892	7047	844
893	7055	836
894	7064	828
895	7073	821
896	7082	813
897	7091	805
898	7099	797
899	7109	789
900	7116	781
901	7124	774
902	7133	766
903	7142	758
904	7151	750
905	7160	742
906	7168	734
907	7176	727
908	7184	719
909	7192	711
910	7200	703
911	7207	695
912	7214	687
913	7221	679
914	7229	671
915	7236	663
916	7244	655
917	7252	647
918	7260	639
919	7268	632
920	7275	624
921	7283	616
922	7291	608
923	7298	600
924	7306	592
925	7315	584
926	7322	576
927	7330	568
928	7339	560
929	7349	553
930	7358	545
931	7367	537
932	7376	529
933	7384	521
934	7394	514
935	7402	506
936	7425	499
937	7433	491
938	7442	483
939	7449	475
940	7459	467
941	7466	459
942	7475	451
943	7482	443
944	7491	435
945	7498	428
946	7506	420
947	7514	412
948	7522	404
949	7529	396
950	7536	388
951	7544	380
952	7552	372
953	7559	364
954	7567	356
955	7574	348
956	7582	340
957	7590	332
958	7597	324
959	7605	316
960	7613	308
961	7620	301
962	7628	293
963	7636	285
964	7643	277
965	7651	269
966	7658	261
967	7665	253
968	7673	245
969	7680	237
970	7688	229
971	7695	221
972	7703	213
973	7711	205
974	7720	197
975	7728	190
976	7736	182
977	7743	174
978	7752	166
979	7761	158
980	7768	150
981	7776	142
982	7783	134
983	7790	126
984	7798	118
985	7806	110
986	7815	102
987	7823	95
988	7831	87
989	7840	79
990	7849	71
991	7856	63
992	7865	55
993	7873	47
994	7882	39
995	7889	31
996	7898	23
997	7906	15
998	7915	7
999	7923	0
