iter	MultiClass
0	1.464174174
1	1.351902434
2	1.272391701
3	1.205802879
4	1.147780522
5	1.099227886
6	1.059996987
7	1.024941654
8	0.9960600665
9	0.9721105578
10	0.9494001876
11	0.9299177293
12	0.9109859745
13	0.8958695208
14	0.8795774207
15	0.8666542925
16	0.8549676405
17	0.8455663419
18	0.8355289027
19	0.8270507987
20	0.8184662857
21	0.8108450305
22	0.8033005966
23	0.797098877
24	0.7917683959
25	0.7879635749
26	0.7828348404
27	0.7785606884
28	0.7740011152
29	0.7705931509
30	0.7660887433
31	0.7624032221
32	0.7584874164
33	0.7560046956
34	0.7535598975
35	0.7506319184
36	0.7472642739
37	0.7452137039
38	0.7413439919
39	0.739241547
40	0.7374167818
41	0.7356768006
42	0.7341745324
43	0.732632847
44	0.7320311631
45	0.7302379892
46	0.7276819036
47	0.7254025975
48	0.7243280611
49	0.7227143261
50	0.7216422624
51	0.7204075356
52	0.7191573427
53	0.7177246133
54	0.7164589978
55	0.7154901615
56	0.7142069879
57	0.713417522
58	0.7124074829
59	0.7112126627
60	0.7096257667
61	0.708441051
62	0.7071061555
63	0.7060625612
64	0.7052399625
65	0.7042763569
66	0.7033126105
67	0.7024451184
68	0.7017215203
69	0.7012620358
70	0.6999912976
71	0.6994457597
72	0.6988165344
73	0.6980129662
74	0.6971936975
75	0.6962814058
76	0.695731342
77	0.6948800329
78	0.6940163226
79	0.6932532627
80	0.6917843554
81	0.6910338099
82	0.6902300075
83	0.688740589
84	0.6881008547
85	0.6876421736
86	0.685893681
87	0.6851087615
88	0.6840415554
89	0.683651535
90	0.6824054595
91	0.6815433069
92	0.6806826457
93	0.6797024879
94	0.67855527
95	0.6775139922
96	0.6768495566
97	0.6765901711
98	0.676263807
99	0.6751614557
100	0.674148342
101	0.6732857682
102	0.6721602412
103	0.6715054094
104	0.6710031727
105	0.6705810268
106	0.6701788304
107	0.6694584111
108	0.6687167921
109	0.6678474567
110	0.6673180976
111	0.6669036978
112	0.6666838205
113	0.6661346689
114	0.6654794216
115	0.6649830869
116	0.6645123269
117	0.6640134199
118	0.66357244
119	0.6626510398
120	0.6621616511
121	0.6617865185
122	0.6607335554
123	0.6603336539
124	0.6599173024
125	0.6595690302
126	0.658931324
127	0.65849758
128	0.6579706617
129	0.6574180552
130	0.6571425865
131	0.6569436054
132	0.6561086274
133	0.6552402865
134	0.6543672785
135	0.6537164254
136	0.6531623083
137	0.6528774296
138	0.6523014399
139	0.6518852586
140	0.6511490373
141	0.6504575637
142	0.6501220803
143	0.6495319469
144	0.648856895
145	0.6484657184
146	0.6480645665
147	0.6476005232
148	0.6469859301
149	0.6467197813
150	0.6459070239
151	0.6451743449
152	0.64482554
153	0.6443724629
154	0.6441669434
155	0.6438370458
156	0.6434300012
157	0.6432320084
158	0.642846478
159	0.6426175184
160	0.6424300543
161	0.6419812497
162	0.64135037
163	0.6409571625
164	0.6404225879
165	0.6402207061
166	0.6395949485
167	0.6389191313
168	0.6379715315
169	0.6374681552
170	0.6366128024
171	0.6357641648
172	0.635073703
173	0.6344475251
174	0.6337126858
175	0.6332943045
176	0.6324634823
177	0.6321111298
178	0.6310123698
179	0.6307164347
180	0.6301524414
181	0.6298333821
182	0.6291256411
183	0.628226567
184	0.6277179216
185	0.6273727724
186	0.6271516459
187	0.6268246655
188	0.6262411079
189	0.6258620863
190	0.6256838169
191	0.6251164927
192	0.6247571896
193	0.6244150757
194	0.6241490942
195	0.6237555642
196	0.6233648696
197	0.6231582676
198	0.6228330298
199	0.6217903908
200	0.6212948
201	0.6206357835
202	0.6198289889
203	0.6190968631
204	0.6187384641
205	0.6182976377
206	0.617958643
207	0.6172689475
208	0.6164076531
209	0.6160674169
210	0.6159306269
211	0.6155096126
212	0.6152553292
213	0.614882029
214	0.6140275872
215	0.6137109164
216	0.6130765753
217	0.6127024584
218	0.6122293765
219	0.6120749852
220	0.6111953584
221	0.6108990413
222	0.6106157759
223	0.6102889575
224	0.6100088238
225	0.6097336469
226	0.608959166
227	0.6084739321
228	0.6075718359
229	0.607235214
230	0.6067724961
231	0.6063716173
232	0.6057661256
233	0.6051629957
234	0.6048829232
235	0.6045974973
236	0.6041316727
237	0.6039551596
238	0.6034396638
239	0.6031743958
240	0.602298372
241	0.6019389148
242	0.6016944341
243	0.601299839
244	0.6011072431
245	0.6006062333
246	0.6000966689
247	0.5996283171
248	0.5992833258
249	0.5987039747
250	0.5983216035
251	0.5981537547
252	0.5978656897
253	0.5974147747
254	0.5971755489
255	0.5967626668
256	0.5958386199
